variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
wide_d320_b4_r2,11,PRUNED,-1.0902677720322398,False,,,1000,0.08504990932609265,0.106999559502583,0.794862237951919,0.08504990932609265,0.106999559502583,0.794862237951919,1000,polynomial_decay,0.000499296531576639,1.25,0.08532941930070892,2.2674332242770466e-06,0.0368828255306414,2.0,0.014252428885093631,0.557653186207745,1.906536056788313
wide_d320_b4_r2,12,COMPLETE,-1.2375129480929479,False,,,4000,0.06381589985297371,0.11423495997829984,0.5586372146065988,0.06381589985297371,0.11423495997829984,0.5586372146065988,4000,polynomial_decay,0.0011194142556839183,1.25,0.03995121225244404,5.778735770825256e-06,0.06523425274380522,0.5,0.007700648798378345,0.6639079530952303,1.5259288638269477
wide_d320_b4_r2,13,PRUNED,-1.1031883004555978,False,,,1000,0.08296726003754884,0.106999559502583,0.7753981457797122,0.08296726003754884,0.106999559502583,0.7753981457797122,1000,polynomial_decay,0.0003240215569424715,1.0,0.12726489985096492,0.00011503795520465598,0.07779904783604531,1.0,0.028382563667317194,0.688467230799002,0.7610850675790604
wide_d320_b4_r2,14,PRUNED,-1.1903072501662637,False,,,3000,0.06765953259309754,0.11448401730740443,0.5909954435947414,0.06765953259309754,0.11448401730740443,0.5909954435947414,3000,polynomial_decay,0.0006282459969178214,0.75,0.06815786497413413,1.4212726020040633e-05,0.052087615670149474,0.5,0.05075511583078455,0.4203166097508681,1.4759659487640786
wide_d320_b4_r2,15,PRUNED,-1.1076900991075558,False,,,1000,0.0822536632961904,0.106999559502583,0.768728989900232,0.0822536632961904,0.106999559502583,0.768728989900232,1000,constant,0.00028051351670247077,,,1.1023874439768288e-07,0.11420729213940398,0.5,0.07428085229549763,0.2005300971265599,
wide_d320_b4_r2,16,PRUNED,-1.1116237436030183,False,,,1000,0.08163515317331378,0.106999559502583,0.7629484976650123,0.08163515317331378,0.106999559502583,0.7629484976650123,1000,cosine_decay,0.000587011744678511,1.25,0.13268850331139626,1.4888480553794242e-06,0.47757926393686756,1.0,0.11148596507699725,0.3570720191630624,
wide_d320_b4_r2,17,PRUNED,-1.0837644251643086,False,,,1000,0.08611787615033488,0.106999559502583,0.8048432773992492,0.08611787615033488,0.106999559502583,0.8048432773992492,1000,cosine_decay,0.0004867493698196586,1.0,0.011883221002166246,3.685670068785e-07,0.11954398372312944,2.0,0.11984746375844668,0.38952798755873813,
wide_d320_b4_r2,18,COMPLETE,-1.2433445320998309,False,,,4000,0.06299148707572992,0.11423495997829984,0.5514203978160086,0.06299148707572992,0.11423495997829984,0.5514203978160086,4000,polynomial_decay,0.0008788509854471044,1.25,0.02988330276131284,8.507887091089711e-06,0.31622756612199476,0.5,0.029975724725883654,0.5875250819591711,1.8150943967789455
wide_d320_b4_r2,19,PRUNED,-1.2255224926756605,False,,,4000,0.06420768661579739,0.11423495997829984,0.562066871892758,0.06420768661579739,0.11423495997829984,0.562066871892758,4000,polynomial_decay,0.0006602042562419984,1.25,0.011666840121833517,6.376164492333476e-05,0.41542351663242255,0.5,0.020516139646769176,0.6346276612735464,1.982659569357382
wide_deep_d320_b6_r2,0,COMPLETE,-1.2549651835621638,True,cdl_c,UMi Stage-A warm start,4000,0.06101766370314484,0.11423495997829984,0.5341417698639348,0.06101766370314484,0.11423495997829984,0.5341417698639348,4000,cosine_decay,0.001199270587979418,1.25,0.08059905686377618,8.271896538834887e-06,0.26734213832907167,0.5,0.00835121089124563,0.44652798477643935,
wide_deep_d320_b6_r2,1,COMPLETE,-1.2069137062286508,False,,,4000,0.06830740331982572,0.11423495997829984,0.5979553311245651,0.06830740331982572,0.11423495997829984,0.5979553311245651,4000,cosine_decay,0.0004983159357242532,0.75,0.012154545064008537,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,
wide_deep_d320_b6_r2,2,COMPLETE,-1.2640920048902577,False,,,4000,0.05892619258762958,0.11423495997829984,0.5158332667934864,0.05892619258762958,0.11423495997829984,0.5158332667934864,4000,constant,0.0009643418646698049,,,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,
wide_deep_d320_b6_r2,3,COMPLETE,-1.1899628261897512,False,,,4000,0.07044482826798533,0.11423495997829984,0.616666108880916,0.07044482826798533,0.11423495997829984,0.616666108880916,4000,cosine_decay,0.0002210893178410695,1.0,0.036430683993363126,1.613671536589336e-06,0.3169058880316735,0.5,0.03312588579968341,0.4217057595278402,
wide_deep_d320_b6_r2,4,COMPLETE,-1.1762927211118477,False,,,4000,0.07148730659779783,0.11423495997829984,0.6257918470088106,0.07148730659779783,0.11423495997829984,0.6257918470088106,4000,cosine_decay,0.0002150875602723823,1.25,0.016301500139320635,2.795475110283828e-05,0.09844608545417897,1.0,0.049786317412733185,0.1508561283376549,
